,rider_url,rider_name,nationality
25,daniel-lopez,LÓPEZ Daniel,ES
26,samuel-caldeira,CALDEIRA Samuel José,PT
27,edgar-pinto,PINTO Edgar,PT
28,sanchez-canellas,CAÑELLAS Xavier,ES
32,matthew-gibson,GIBSON Matthew,GB
46,ricardo-mestre,MESTRE Ricardo,PT
56,raul-alarcon,ALARCÓN Raúl,ES
57,halil-ibrahim-dogan,DOĞAN Halil İbrahim,TR
70,gustavo-cesar-veloso,CÉSAR VELOSO Gustavo,ES
73,moreno-de-pauw,DE PAUW Moreno,BE
76,omar-mendoza,MENDOZA Omar Alberto,CO
84,mauricio-moreira,MOREIRA Mauricio,UY
89,diego-antonio-ochoa,OCHOA Diego Antonio,CO
93,kyle-murphy,MURPHY Kyle,US
101,hayato-yoshida,YOSHIDA Hayato,JP
102,hiroki-nishimura,NISHIMURA Hiroki,JP
103,alvaro-robredo,ROBREDO Álvaro,ES
106,jose-ferreira,FERREIRA José,PT
108,emerson-oronte,ORONTE Emerson,US
114,mathias-fluckiger,FLÜCKIGER Mathias,CH
117,claudio-imhof,IMHOF Claudio,CH
19,michael-hernandez,HERNANDEZ Michael,US
30,tyler-stites,STITES Tyler,US
49,keegan-swirbul,SWIRBUL Keegan,US
50,alex-hoehn,HOEHN Alex,US
79,edward-anderson,ANDERSON Edward,US
93,samuel-boardman,BOARDMAN Samuel,US
102,jonathan-brown,BROWN Jonny,US
114,cole-davis,DAVIS Cole,US
35,gian-friesecke,FRIESECKE Gian,CH
14,mamyr-stash,STASH Mamyr,RU
28,jarrad-drizners,DRIZNERS Jarrad,AU
66,tyler-lindorff,LINDORFF Tyler,AU
106,cameron-scott,SCOTT Cameron,AU
110,veljko-stojnic,STOJNIĆ Veljko,RS
130,alexander-evans,EVANS Alexander,AU
51,jefferson-cepeda-hernandez,CEPEDA Jefferson Alveiro,EC
119,alejandro-ropero,ROPERO Alejandro,ES
128,john-archibald,ARCHIBALD John,GB
68,daniel-alejandro-mendez-norena,MENDEZ Daniel Alejandro,CO
104,marti-marquez,MÁRQUEZ Martí,ES
122,antonio-soto,SOTO Antonio Jesús,ES
101,carlos-canal,CANAL Carlos,ES
159,unai-cuadrado,CUADRADO Unai,ES
56,cyrille-thiery,THIÈRY Cyrille,CH
125,matthias-reutimann,REUTIMANN Mathias,CH
90,anton-palzer,PALZER Anton,DE
105,lukas-ruegg,RÜEGG Lukas,CH
145,kevin-kuhn,KUHN Kevin,CH
44,mathias-vacek,VACEK Mathias,CZ
82,michael-kukrle,KUKRLE Michael,CZ
90,ethan-vernon,VERNON Ethan,GB
116,luke-plapp,PLAPP Luke,AU
41,anthon-charmig,CHARMIG Anthon,DK
92,tim-naberman,NABERMAN Tim,NL
98,xabier-isasa-larranaga,ISASA Xabier,ES
101,diego-lopez-fuentes,LÓPEZ Diego,ES
119,asier-etxeberria,ETXEBERRIA Asier,ES
121,valentin-paret-peintre,PARET-PEINTRE Valentin,FR
7,georg-steinhauser,STEINHAUSER Georg,DE
52,filippo-colombo1,COLOMBO Filippo,CH
58,yannis-voisard,VOISARD Yannis,CH
67,dario-lillo,LILLO Dario,CH
85,nils-brun,BRUN Nils,CH
114,antoine-debons,DEBONS Antoine,CH
125,valere-thiebaud,THIÉBAUD Valère,CH
129,carlos-garcia-pierna,GARCÍA PIERNA Carlos,ES
132,miguel-heidemann,HEIDEMANN Miguel,DE
63,simon-vitzthum,VITZTHUM Simon,CH
73,sjoerd-bax,BAX Sjoerd,NL
117,kristian-aasvold,AASVOLD Kristian,NO
123,robin-froidevaux,FROIDEVAUX Robin,CH
27,iuri-leitao,LEITÃO Iúri,PT
45,matyas-kopecky,KOPECKÝ Matyáš,CZ
68,marcin-budzinski,BUDZINSKI Marcin,PL
132,mateusz-grabis,GRABIS Mateusz,PL
134,david-van-der-poel,VAN DER POEL David,NL
151,gerd-de-keijzer,DE KEIJZER Gerd,NL
155,jakub-murias,MURIAS Jakub,PL
111,vojtech-repa,ŘEPA Vojtěch,CZ
