start,end,cat,name,race_id
3/06/2022,,NCT5,National Championships Thailand (Soi Dao) I.T.T.,40271
3/06/2022,5/06/2022,2.2,Tour of Malopolska,39880
3/06/2022,12/06/2022,2.2,Vuelta a Colombia,39891
4/06/2022,,1.1,Heistse Pijl,40151
4/06/2022,,NCT5,National Championships Benin (Covè) I.T.T.,40548
4/06/2022,8/06/2022,2.1,Adriatica Ionica Race,40184
4/06/2022,12/06/2022,2.2,Tour du Cameroun,40199
5/06/2022,,1.2,Mémorial Philippe van Coningsloo,40152
5/06/2022,,1.PS,Brussels Cycling Classic,40154
5/06/2022,,NCT5,National Championships Saint Vincent & the Grenadines (Arnos Vale - Belvedere) I.T.T.,40200
5/06/2022,,NC5,National Championships Thailand (Soi Dao) R.R.,40272
5/06/2022,,1.2U,Trofeo Citta di Meldola,40347
5/06/2022,,NC5,National Championships Benin (Covè - Baname) R.R.,40547
5/06/2022,12/06/2022,2.WT1,Critérium du Dauphiné,39900
6/06/2022,,1.1,Ronde van Limburg,40155
6/06/2022,,1.2,Paris - Troyes,40156
6/06/2022,,NC5,National Championships Saint Vincent & the Grenadines (Arnos Vale) R.R.,40201
8/06/2022,,1.2U,1a Coppa Zappi - Trofeo Hotel Antico Borgo,40190
8/06/2022,12/06/2022,2.2,Five Rings of Moscow,39908
8/06/2022,12/06/2022,2.PS,ZLM Tour,39914
9/06/2022,,NCT4,National Championships Venezuela (Naguanagua) I.T.T.,40525
9/06/2022,12/06/2022,2.2,Oberösterreichrundfahrt,39919
10/06/2022,,1.1,GP Kanton Aargau - Gippingen,40157
10/06/2022,12/06/2022,2.2,Tour d'Eure-et-Loir,39934
11/06/2022,,1.PS,Dwars door het Hageland - Aarschot,40158
11/06/2022,18/06/2022,2.2U,Giro dItalia Giovani Under 23,39930
12/06/2022,,1.1,Elfstedenronde - Brugge,40159
12/06/2022,,NC4,National Championships Venezuela (Valencia) R.R.,40526
12/06/2022,19/06/2022,2.WT1,Tour de Suisse,39943
14/06/2022,,1.1,Mont Ventoux Dénivelé Challenge,40160
15/06/2022,19/06/2022,2.PS,Belgium Tour,39957
15/06/2022,19/06/2022,2.PS,Tour of Slovenia,39963
16/06/2022,19/06/2022,2.1,Route d'Occitanie,39973
17/06/2022,,NCT5,National Championships Costa Rica (Liberia) I.T.T.,40161
17/06/2022,,NCT5,National Championships Morocco (Benslimane) I.T.T.,40208
17/06/2022,,NCT4,National Championships Finland (Porvoo) I.T.T.,40538
17/06/2022,19/06/2022,2.2,Tour du Pays de Montbéliard,39977
18/06/2022,,NCT5,National Championships Honduras (Canal Seco) I.T.T.,40513
18/06/2022,,NCT5,National Championships Mauritius (Côte dOr) I.T.T.,40515
19/06/2022,,NC5,National Championships Costa Rica (Liberia) R.R.,40162
19/06/2022,,1.2,Midden-Brabant Poort Omloop,40170
19/06/2022,,NC5,National Championships Morocco (Benslimane) R.R.,40209
19/06/2022,,NCT5,National Championships El Salvador (Parque Walter Thilo Deininger) I.T.T.,40212
19/06/2022,,NCT5,National Championships Guatemala (Escuintla) I.T.T.,40265
19/06/2022,,NC5,National Championships Honduras (Comayagua) R.R.,40514
19/06/2022,,NCT5,National Championships Belize (John Smith Road) I.T.T.,40517
19/06/2022,,NC4,National Championships Finland (Porvoo) R.R.,40539
19/06/2022,,NCT5,National Championships Nicaragua (Tipitapa) I.T.T.,40541
19/06/2022,,NC5,National Championships Burkina Faso (Koudougou) R.R.,40549
19/06/2022,,NCT5,National Championships Bermuda (Clearwater) I.T.T.,40550
22/06/2022,,NCT3,National Championships Estonia (Kuremaa) I.T.T.,40166
22/06/2022,,NCT4,National Championships Latvia (Kuldiga) I.T.T.,40168
22/06/2022,,NCT4,"National Championships Lithuania (Kuldiga, Latvia) I.T.T.",40186
22/06/2022,,NCT1,National Championships Netherlands (Emmen) I.T.T.,40187
22/06/2022,,1.1,Halle - Ingooigem,40222
22/06/2022,,NCT3,National Championships Kazakhstan (Shchuchinsk) I.T.T.,40225
22/06/2022,,NCT4,National Championships Hungary (Bocskaikert) I.T.T.,40229
22/06/2022,,NCT1,National Championships Italy (San Giovanni al Natisone) I.T.T.,40231
22/06/2022,,NCT5,National Championships Philippines (Tagaytay) I.T.T.,40299
22/06/2022,,NCT3,National Championships Poland (Nowy Dwor Mazowiecki - Leoncin) I.T.T.,40510
23/06/2022,,NCT3,National Championships Norway (Steinkjer) I.T.T.,40210
23/06/2022,,NCT5,National Championships Azerbaijan (Pirallahi) I.T.T.,40223
23/06/2022,,NCT5,National Championships Iceland (Hrafnagilshverfi) I.T.T.,40233
23/06/2022,,NCT2,National Championships Great Britain (Dumfries) I.T.T.,40235
23/06/2022,,NCT1,National Championships France (Cholet) I.T.T.,40237
23/06/2022,,NCT1,National Championships Belgium (Gavere) I.T.T.,40239
23/06/2022,,NCT3,National Championships Czech Republic (Kovarov) I.T.T.,40241
23/06/2022,,NCT4,"National Championships Slovakia (Kovarov, CZE) I.T.T.",40243
23/06/2022,,NCT3,National Championships Canada (Edmonton) I.T.T.,40247
23/06/2022,,NCT3,National Championships Ireland (Nenagh - Birdhill) I.T.T.,40249
23/06/2022,,NCT2,National Championships Denmark (Aalborg) I.T.T.,40251
23/06/2022,,NCT3,"National Championships Austria (Novo Mesto, SLO) I.T.T.",40269
23/06/2022,,NCT1,National Championships Slovenia (Novo Mesto) I.T.T.,40506
23/06/2022,,NCT3,National Championships Switzerland (Steinmaur) I.T.T.,40508
23/06/2022,,NCT5,National Championships Brazil (Palmas) I.T.T.,40523
23/06/2022,,NCT4,National Championships Sweden (Björklinge) I.T.T.,40540
23/06/2022,,NCT3,National Championships United States (Knoxville) I.T.T.,40542
23/06/2022,,NCT5,National Championships Mexico (Guadelajara) I.T.T.,40551
23/06/2022,,NCT5,National Championships Dominican Republic (Mirador Sur) I.T.T.,40565
