race_name,year,stage_race,race_url
dwars-door-vlaanderen,2021,False,race/dwars-door-vlaanderen/2021
ronde-van-vlaanderen,2021,False,race/ronde-van-vlaanderen/2021
itzulia-basque-country,2021,True,race/itzulia-basque-country/2021
amstel-gold-race,2021,False,race/amstel-gold-race/2021
la-fleche-wallone,2021,False,race/la-fleche-wallone/2021
liege-bastogne-liege,2021,False,race/liege-bastogne-liege/2021
tour-de-romandie,2021,True,race/tour-de-romandie/2021
giro-d-italia,2021,True,race/giro-d-italia/2021
dauphine,2021,True,race/dauphine/2021
tour-de-suisse,2021,True,race/tour-de-suisse/2021
tour-de-france,2021,True,race/tour-de-france/2021
san-sebastian,2021,False,race/san-sebastian/2021
tour-de-pologne,2021,True,race/tour-de-pologne/2021
vuelta-a-espana,2021,True,race/vuelta-a-espana/2021
cyclassics-hamburg,2021,False,race/cyclassics-hamburg/2021
bretagne-classic,2021,False,race/bretagne-classic/2021
benelux-tour,2021,True,race/benelux-tour/2021
gp-quebec,2021,False,race/gp-quebec/2021
gp-montreal,2021,False,race/gp-montreal/2021
eschborn-frankfurt,2021,False,race/eschborn-frankfurt/2021
paris-roubaix,2021,False,race/paris-roubaix/2021
il-lombardia,2021,False,race/il-lombardia/2021
tour-of-guangxi,2021,True,race/tour-of-guangxi/2021
tour-down-under,2022,True,race/tour-down-under/2022
great-ocean-race,2022,False,race/great-ocean-race/2022
uae-tour,2022,True,race/uae-tour/2022
omloop-het-nieuwsblad,2022,False,race/omloop-het-nieuwsblad/2022
strade-bianche,2022,False,race/strade-bianche/2022
paris-nice,2022,True,race/paris-nice/2022
tirreno-adriatico,2022,True,race/tirreno-adriatico/2022
milano-sanremo,2022,False,race/milano-sanremo/2022
volta-a-catalunya,2022,True,race/volta-a-catalunya/2022
oxyclean-classic-brugge-de-panne,2022,False,race/oxyclean-classic-brugge-de-panne/2022
e3-harelbeke,2022,False,race/e3-harelbeke/2022
gent-wevelgem,2022,False,race/gent-wevelgem/2022
