"Rider","Pro_year","Points_as_neopro","heuristic"
"feillu romain",2007,1035,0.6
"felline fabio",2010,447,1.375
"fenn andrew",2012,498,0.545833333333333
"fernandez higinio",2011,0,0
"fernández juan carlos",2007,5,0
"fernández rubén",2013,139,0
"ferrari roberto",2007,107,0
"filosi iuri",2015,96,0.544444444444444
"finetto mauro",2008,688,0.666666666666667
"flakemore campbell",2015,14,0.166666666666667
"flens rick",2007,169,0.833333333333333
"flórez miguel eduardo",2017,23,0
"foliforov alexander",2015,193,0.564935064935065
"fominykh daniil",2014,68,0.166666666666667
"fonseca armindo",2011,186,0
"fonzi giuseppe",2015,68,0.166666666666667
"formolo davide",2014,793,0.875
"fortin filippo",2011,89,0.5
"fortunato lorenzo",2019,120,0.506136363636364
"foss tobias",2020,81,0.900396825396825
"fouchard julien",2010,110,0.166666666666667
"fournier marc",2016,169,0.2
"fraile omar",2013,60,0
"frank mathias",2008,330,0
"frankiny kilian",2017,164,0.5
"frapporti marco",2008,194,0.333333333333333
"frapporti mattia",2017,43,0.0857142857142857
"frei thomas",2007,96,0.25
"frison frederik",2016,37,0.583333333333333
"froome chris",2008,289,0
"fuglsang jakob",2009,1679,0
"fumagalli cristiano",2008,138,0.166666666666667
"gaday lucas manuel",2016,0,0.375
"gaia michele",2009,4,1
"galimzyanov denis",2009,323,0.5
"gall felix",2020,8,0.221428571428571
"gallopin tony",2010,784,0.528333333333333
"galta fredrik strand",2016,3,0
"gamper patrick",2020,18,0.38984126984127
"ganna filippo",2017,136,0.587301587301587
"garcía cortina iván",2017,393,0.8
"garcía jhojan",2017,19,0
"garcía marcos",2009,486,0
"garcía marcos",2009,486,0
"garcía pierna raúl",2021,NA,0.166666666666667
"garcía ricardo",2012,72,0
"garel adrien",2018,28,0
"garrison ian",2018,90,0.75
"gaspar joão",2016,36,0
"gastauer ben",2010,116,0.35
"gatto oscar",2007,240,0.666666666666667
"gaudin damien",2008,53,0.333333333333333
"gaudu david",2017,615,0.416666666666667
"gautier cyril",2009,382,0.80952380952381
"gavazzi francesco",2007,396,1.5
"gaviria fernando",2016,2059,0
"gawronski piotr",2013,6,0.05
"geniez alexandre",2010,569,0.4
"geoghegan hart tao",2017,615,0.973443223443224
"gerts floris",2016,253,0.5
"gesbert élie",2017,226,0.716666666666667
"geschke simon",2009,328,0.333333333333333
"gesink robert",2007,1818,1
"ghebreigzabhier amanuel",2018,493,1.1
"ghirmay hailu biniam",2020,299,0.333333333333333
"ghys robbe",2018,32,0.416666666666667
"ghyselinck jan",2010,67,1.03952380952381
"gianetti noe",2010,10,0
"gibbons ryan",2017,497,0
"gibson matthew",2019,99,0.1
"gidich yevgeniy",2018,389,0
"gimenez carlos",2015,0,0
"ginanni francesco",2008,786,0
"goddaert kristof",2008,553,0.333333333333333
"godon dorian",2017,170,0.166666666666667
"godoy yonder",2014,40,0
"godrie stan",2017,5,0.25
"goesinnen floris",2007,259,0
"gogl michael",2016,319,0
"gohr andre  eduardo",2017,10,0
"golas michal",2007,52,0.75
"goldstein omer",2018,47,0
"goldstein roy",2017,30,0
"gómez bryan",2018,82,0
"gómez yelko",2012,26,0
"gonzález abner",2021,NA,0
"gonzález david",2019,22,0
"goolaerts michael",2017,52,0.05
"goos marc",2013,45,0.583333333333333
"goossens kobe",2020,75,0.333333333333333
"goss matthew",2007,363,0.333333333333333
"gottfried alexander",2007,105,0
"gougeard alexis",2014,597,0.366666666666667
"gourgue benjamin",2008,13,0.25
"grabovskyy dmytro",2007,89,0.9
"grávalos arturo",2021,NA,0
"graziato massimo",2008,12,0.5
"gregaard jonas",2019,125,0.316666666666667
"grellier fabien",2016,150,0.528571428571429
"grendene andrea",2009,34,0.5
"gretsch patrick",2010,229,0.716666666666667
"grignard sébastien",2021,NA,0.107142857142857
"grijalba fernando",2014,35,0
"grmay tsgabu",2013,225,0
"groenewegen dylan",2015,1365,0.533333333333333
"grondin donavan",2020,1,0.366666666666667
"großschartner felix",2016,305,0.433333333333333
"grosu eduard-michael",2015,437,0
"guardini andrea",2011,846,0.25
"guarnieri jacopo",2008,223,0.777777777777778
"gudsell timothy",2007,61,0
"guernalec thibault",2019,151,0.0625
"guerreiro ruben",2017,671,0.5
"guglielmi simon",2020,52,0.455555555555555
"guillemois romain",2014,47,0.541666666666667
"guldhammer rasmus",2010,100,0.74047619047619
"gutiérrez cecilio",2008,8,0
"haig jack",2016,584,0.7
"hailemichael mulu kinfe",2020,45,0.25
"halleguen mathieu",2011,27,0.583333333333333
"haller marco",2012,189,0.416666666666667
"halvorsen kristoffer",2018,640,0.663333333333333
"hamilton lucas",2018,548,0.707792207792208
"hansen jesper",2014,424,1
"hansen lasse norman",2014,202,1.25833333333333
"hardy romain",2011,379,0.166666666666667
"hartmann nicolas",2007,166,0.25
